STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
11295400,STANISLAUS R NR HATHAWAY PINES CA,Non-ref,WestMnts,1628.055,18,38.141309,-120.372974,CA,,,27,27,5
11296500,SF STANISLAUS R A STRAWBERRY CA,Non-ref,WestMnts,116.6688,18,38.197417,-120.008518,CA,,yes,73,60,20
11297200,SF STANISLAUS R NR STRAWBERRY CA,Non-ref,WestMnts,125.3277,18,38.1777,-120.04685,CA,,yes,3,3,0
11298000,SF STANISLAUS R NR LONG BARN CA,Non-ref,WestMnts,173.6649,18,38.092421,-120.168244,CA,,yes,71,60,20
11298650,ANGELS C BL MURPHYS AFTERBAY NR MURPHYS CA,Non-ref,WestMnts,5.7411,18,38.15139,-120.44028,CA,,yes,4,4,4
11298700,ANGELS C BL UTICA D DIV DAM NR MURPHYS CA,Non-ref,WestMnts,14.7663,18,38.13075,-120.4852,CA,,yes,1,1,1
11299200,NEW MELONES PP BL NEW MELONES DAM NR SONORA CA,Non-ref,WestMnts,2341.626,18,37.946314,-120.528255,CA,,yes,30,30,20
11302000,STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY CA,Non-ref,WestMnts,2539.589,18,37.851594,-120.637982,CA,,yes,52,52,20
11306000,SF CALAVERAS R NR SAN ANDREAS CA,Non-ref,WestXeric,305.6922,18,38.144365,-120.663819,CA,,,29,29,0
11308000,NF CALAVERAS R NR SAN ANDREAS CA,Non-ref,WestMnts,221.0031,18,38.221307,-120.699377,CA,,,29,29,0
11316800,FOREST C NR WILSEYVILLE CA,Non-ref,WestMnts,54.5454,18,38.403246,-120.446868,CA,,yes,49,49,20
11317000,MF MOKELUMNE R A WEST POINT CA,Non-ref,WestMnts,177.6699,18,38.389634,-120.526593,CA,,yes,98,60,20
11318500,SF MOKELUMNE R NR WEST POINT CA,Non-ref,WestMnts,194.247,18,38.368246,-120.545482,CA,,yes,76,60,20
11319500,MOKELUMNE R NR MOKELUMNE HILL CA,Non-ref,WestMnts,1419.016,18,38.312693,-120.720211,CA,,yes,82,60,20
11329500,DRY C NR GALT CA,Non-ref,WestXeric,840.6036,18,38.247971,-121.226891,CA,,,50,38,0
11314500,NF MOKELUMNE R BL SALT SPRINGS DAM CA,Non-ref,WestMnts,440.9982,18,38.493523,-120.221027,CA,,yes,83,60,20
11315030,COLE C BL DIV DAM NR SALT SPRINGS DAM CA,Non-ref,WestMnts,56.0754,18,38.51491,-120.21575,CA,,yes,1,1,1
11315900,BEAR R BL LO BEAR R DAM CA,Non-ref,WestMnts,96.6429,18,38.5363,-120.25769,CA,,yes,3,3,3
11316000,BEAR R NR SALT SPRINGS DAM CA,Non-ref,WestMnts,123.2424,18,38.493523,-120.289362,CA,,,36,36,0
11316100,BEAR R BL BEAR R DIV DAM CA,Non-ref,WestMnts,123.6375,18,38.49241,-120.2902,CA,,yes,2,2,2
11316600,NF MOKELUMNE R AB TIGER C CA,Non-ref,WestMnts,862.3026,18,38.446577,-120.490202,CA,,,32,32,12
11316605,TIGER C BL REGULATOR RES NR PIONEER CA,Non-ref,WestMnts,20.5974,18,38.47694,-120.45306,CA,,yes,6,6,6
11316670,NF MOKELUMNE R BL TIGER C RES NR WEST PT CA,Non-ref,WestMnts,925.2072,18,38.44019,-120.50493,CA,,yes,3,3,3
11316700,NF MOKELUMNE R BL ELECTR DIV DAM NR WEST PT CA,Non-ref,WestMnts,945.0252,18,38.42074,-120.54993,CA,,yes,5,5,4
11327000,SUTTER C NR SUTTER CREEK CA,Non-ref,WestMnts,123.9525,18,38.395745,-120.781324,CA,,,26,20,0
11333000,CAMP C NR SOMERSET CA,Non-ref,WestMnts,162.2178,18,38.657127,-120.663819,CA,,,50,50,15
11333500,NF COSUMNES R NR EL DORADO CA,Non-ref,WestMnts,532.2168,18,38.588795,-120.844937,CA,,,69,38,0
11335000,COSUMNES R A MICHIGAN BAR CA,Non-ref,WestMnts,1389.417,18,38.500186,-121.045221,CA,,yes,102,60,20
11335655,DEER C NR CAMERON PARK CA,Non-ref,WestXeric,44.8875,18,38.62389,-120.99361,CA,,yes,5,5,5
11336000,COSUMNES R A MCCONNELL CA,Non-ref,WestMnts,1870.767,18,38.357968,-121.343839,CA,,,41,33,0
11313472,UP BLUE LK OUTLET NR MARKLEEVILLE CA,Non-ref,WestMnts,7.9884,18,38.6263,-119.93713,CA,,yes,0,0,0
11313477,LO BLUE LK OUTLET NR MARKLEEVILLE CA,Non-ref,WestMnts,12.4074,18,38.60658,-119.92629,CA,,yes,0,0,0
11313485,MEADOW LK OUTLET NR MARKLEEVILLE CA,Non-ref,WestMnts,14.7582,18,38.59796,-119.97879,CA,,yes,0,0,0
11230000,SF SAN JOAQUIN R NR FLORENCE LK CA,Non-ref,WestMnts,445.2192,18,37.273276,-118.965949,CA,,,57,31,0
